,dataset,method,metric,object_class,q2,q5,q8,recall,order_key,norder_key
107,bdd,BlazeIt,time savings,traffic light,0.8049850921519078,0.8049850921519078,0.8049850921519078,0.9,"('bdd', 'traffic light')",7
108,bdd,BlazeIt,savings in frames,traffic sign,0.9852207977207977,0.9852207977207977,0.9852207977207977,0.9,"('bdd', 'traffic sign')",8
109,bdd,BlazeIt,time savings,traffic sign,0.8075035787611358,0.8075035787611358,0.8075035787611358,0.9,"('bdd', 'traffic sign')",8
110,bdd,BlazeIt,savings in frames,truck,0.9755368814192343,0.9755368814192343,0.9755368814192343,0.9,"('bdd', 'truck')",6
111,bdd,BlazeIt,time savings,truck,0.792598126782034,0.792598126782034,0.792598126782034,0.9,"('bdd', 'truck')",6
112,bdd,random,savings in frames,bike,0.9977337110481587,0.9977337110481587,0.9977337110481587,0.9,"('bdd', 'bike')",2
113,bdd,random,time savings,bike,0.9977337110481587,0.9977337110481587,0.9977337110481587,0.9,"('bdd', 'bike')",2
114,bdd,random,savings in frames,bus,1.0073170731707317,1.0073170731707317,1.0073170731707317,0.9,"('bdd', 'bus')",5
115,bdd,random,time savings,bus,1.0073170731707315,1.0073170731707315,1.0073170731707315,0.9,"('bdd', 'bus')",5
116,bdd,random,savings in frames,motor,0.9813996316758747,0.9813996316758747,0.9813996316758747,0.9,"('bdd', 'motor')",3
117,bdd,random,time savings,motor,0.9813996316758747,0.9813996316758747,0.9813996316758747,0.9,"('bdd', 'motor')",3
118,bdd,random,savings in frames,person,0.9733610428868317,0.9733610428868317,0.9733610428868317,0.9,"('bdd', 'person')",1
119,bdd,random,time savings,person,0.9733610428868317,0.9733610428868317,0.9733610428868317,0.9,"('bdd', 'person')",1
120,bdd,random,savings in frames,rider,0.9597254831135994,0.9597254831135994,0.9597254831135994,0.9,"('bdd', 'rider')",4
121,bdd,random,time savings,rider,0.9597254831135995,0.9597254831135995,0.9597254831135995,0.9,"('bdd', 'rider')",4
122,bdd,random,savings in frames,traffic light,0.989427633977397,0.989427633977397,0.989427633977397,0.9,"('bdd', 'traffic light')",7
123,bdd,random,time savings,traffic light,0.989427633977397,0.989427633977397,0.989427633977397,0.9,"('bdd', 'traffic light')",7
124,bdd,random,savings in frames,traffic sign,0.991399390790181,0.991399390790181,0.991399390790181,0.9,"('bdd', 'traffic sign')",8
125,bdd,random,time savings,traffic sign,0.9913993907901809,0.9913993907901809,0.9913993907901809,0.9,"('bdd', 'traffic sign')",8
126,bdd,random,savings in frames,truck,0.9832486354225485,0.9832486354225485,0.9832486354225485,0.9,"('bdd', 'truck')",6
127,bdd,random,time savings,truck,0.9832486354225485,0.9832486354225485,0.9832486354225485,0.9,"('bdd', 'truck')",6
128,bdd,this work,savings in frames,bike,1.8807404770380918,1.8807404770380918,1.8807404770380918,0.9,"('bdd', 'bike')",2
