,method,q2,q5,q8,dataset,object_class,metric,recall,order_key,norder_key
159,random+,1.1578947368421053,1.1578947368421053,1.1578947368421053,bdd,traffic light,time savings,0.1,"('bdd', 'traffic light')",7
160,BlazeIt,0.6396649042802011,0.6396649042802011,0.6396649042802011,bdd,traffic light,time savings,0.5,"('bdd', 'traffic light')",7
161,random,1.0,1.0,1.0,bdd,traffic light,time savings,0.5,"('bdd', 'traffic light')",7
162,this work,1.8225667527993108,1.8225667527993108,1.8225667527993108,bdd,traffic light,time savings,0.5,"('bdd', 'traffic light')",7
163,random+,1.1671263099834528,1.1671263099834528,1.1671263099834528,bdd,traffic light,time savings,0.5,"('bdd', 'traffic light')",7
164,BlazeIt,0.8135866277718067,0.8135866277718067,0.8135866277718067,bdd,traffic light,time savings,0.9,"('bdd', 'traffic light')",7
165,random,1.0,1.0,1.0,bdd,traffic light,time savings,0.9,"('bdd', 'traffic light')",7
166,this work,1.4417871222076215,1.4417871222076215,1.4417871222076215,bdd,traffic light,time savings,0.9,"('bdd', 'traffic light')",7
167,random+,1.0106853352984526,1.0106853352984526,1.0106853352984526,bdd,traffic light,time savings,0.9,"('bdd', 'traffic light')",7
168,BlazeIt,1.0923076923076922,1.0923076923076922,1.0923076923076922,bdd,traffic sign,savings in frames,0.1,"('bdd', 'traffic sign')",8
169,random,1.0,1.0,1.0,bdd,traffic sign,savings in frames,0.1,"('bdd', 'traffic sign')",8
170,this work,1.33125,1.33125,1.33125,bdd,traffic sign,savings in frames,0.1,"('bdd', 'traffic sign')",8
171,random+,1.1767955801104972,1.1767955801104972,1.1767955801104972,bdd,traffic sign,savings in frames,0.1,"('bdd', 'traffic sign')",8
172,BlazeIt,1.0181241504304486,1.0181241504304486,1.0181241504304486,bdd,traffic sign,savings in frames,0.5,"('bdd', 'traffic sign')",8
173,random,1.0,1.0,1.0,bdd,traffic sign,savings in frames,0.5,"('bdd', 'traffic sign')",8
